"TIME_PERIOD","REF_AREA","MEASURE","SECTOR","STANDARD_REVENUE","CTRY_SPECIFIC_REVENUE","UNIT_MEASURE","FREQ","obsValue","UNIT_MULT","REVENUE_CODE","DECIMALS","CURRENCY","OBS_STATUS"
"2019","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.513613,"9","1210","0","_Z","A"
"2018","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.625339,"9","1210","0","_Z","A"
"2017","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.748725,"9","1210","0","_Z","A"
"2023","NZL","TAX_REV","S13","T_1200","_T","USD","A",10.652572,"9","1200","0","_Z","A"
"2022","NZL","TAX_REV","S13","T_1200","_T","USD","A",11.17102,"9","1200","0","_Z","A"
"2021","NZL","TAX_REV","S13","T_1200","_T","USD","A",13.220403,"9","1200","0","_Z","A"
"2020","NZL","TAX_REV","S13","T_1200","_T","USD","A",12.056736,"9","1200","0","_Z","A"
"2019","NZL","TAX_REV","S13","T_1200","_T","USD","A",8.114557,"9","1200","0","_Z","A"
"2018","NZL","TAX_REV","S13","T_1200","_T","USD","A",10.501722,"9","1200","0","_Z","A"
"2017","NZL","TAX_REV","S13","T_1200","_T","USD","A",9.523723,"9","1200","0","_Z","A"
"2023","JPN","TAX_REV","S13","T_1210","_T","USD","A",186.444551,"9","1210","0","_Z","A"
"2022","JPN","TAX_REV","S13","T_1210","_T","USD","A",200.631843,"9","1210","0","_Z","A"
"2021","JPN","TAX_REV","S13","T_1210","_T","USD","A",213.271071,"9","1210","0","_Z","A"
"2020","JPN","TAX_REV","S13","T_1210","_T","USD","A",192.943574,"9","1210","0","_Z","A"
"2019","JPN","TAX_REV","S13","T_1210","_T","USD","A",194.063866,"9","1210","0","_Z","A"
"2018","JPN","TAX_REV","S13","T_1210","_T","USD","A",205.245715,"9","1210","0","_Z","A"
"2017","JPN","TAX_REV","S13","T_1210","_T","USD","A",181.985385,"9","1210","0","_Z","A"
"2023","SWE","TAX_REV","S13","T_1210","_T","USD","A",20.812277,"9","1210","0","_Z","A"
"2022","SWE","TAX_REV","S13","T_1210","_T","USD","A",19.842628,"9","1210","0","_Z","A"
"2021","SWE","TAX_REV","S13","T_1210","_T","USD","A",21.252049,"9","1210","0","_Z","A"
"2020","SWE","TAX_REV","S13","T_1210","_T","USD","A",16.121515,"9","1210","0","_Z","A"
"2019","SWE","TAX_REV","S13","T_1210","_T","USD","A",16.066171,"9","1210","0","_Z","A"
"2018","SWE","TAX_REV","S13","T_1210","_T","USD","A",15.812048,"9","1210","0","_Z","A"
"2017","SWE","TAX_REV","S13","T_1210","_T","USD","A",15.045408,"9","1210","0","_Z","A"
"2023","FRA","TAX_REV","S13","T_1200","_T","USD","A",70.799341,"9","1200","0","_Z","A"
"2022","FRA","TAX_REV","S13","T_1200","_T","USD","A",79.531434,"9","1200","0","_Z","A"
"2021","FRA","TAX_REV","S13","T_1200","_T","USD","A",71.198749,"9","1200","0","_Z","A"
"2020","FRA","TAX_REV","S13","T_1200","_T","USD","A",60.088935,"9","1200","0","_Z","A"
"2019","FRA","TAX_REV","S13","T_1200","_T","USD","A",56.070238,"9","1200","0","_Z","A"
"2018","FRA","TAX_REV","S13","T_1200","_T","USD","A",53.149187,"9","1200","0","_Z","A"
"2017","FRA","TAX_REV","S13","T_1200","_T","USD","A",56.632302,"9","1200","0","_Z","A"
"2023","ITA","TAX_REV","S13","T_1210","_T","USD","A",62.524112,"9","1210","0","_Z","A"
"2022","ITA","TAX_REV","S13","T_1210","_T","USD","A",59.30463,"9","1210","0","_Z","A"
"2021","ITA","TAX_REV","S13","T_1210","_T","USD","A",40.640383,"9","1210","0","_Z","A"
"2020","ITA","TAX_REV","S13","T_1210","_T","USD","A",39.021206,"9","1210","0","_Z","A"
"2019","ITA","TAX_REV","S13","T_1210","_T","USD","A",39.374505,"9","1210","0","_Z","A"
"2018","ITA","TAX_REV","S13","T_1210","_T","USD","A",38.890588,"9","1210","0","_Z","A"
"2017","ITA","TAX_REV","S13","T_1210","_T","USD","A",40.775706,"9","1210","0","_Z","A"
"2016","JPN","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","JPN","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2022","JPN","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2021","JPN","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2020","JPN","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2019","JPN","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2018","JPN","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2017","EST","TAX_REV","S13","T_1210","_T","USD","A",0.045583,"9","1210","0","_Z","A"
