"TIME_PERIOD","FREQ","REF_AREA","SECTOR","COUNTERPART_SECTOR","ACCOUNTING_ENTRY","TRANSACTION","INSTR_ASSET","EXPENDITURE","UNIT_MEASURE","VALUATION","PRICE_BASE","TRANSFORMATION","TABLE_IDENTIFIER","obsValue","COUNTERPART_AREA","CONSOLIDATION","DECIMALS","UNIT_MULT","CURRENCY","CONF_STATUS","OBS_STATUS"
"2023","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",116024,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",109799,"W","_Z","2","6","AUD","F","A"
"2021","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",99106,"W","_Z","2","6","AUD","F","A"
"2020","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",96177,"W","_Z","2","6","AUD","F","A"
"2019","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",93730,"W","_Z","2","6","AUD","F","A"
"2018","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",92986,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",90771,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S12","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",89631,"W","_Z","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",1266604,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",1177824,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",1072504,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",998036,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",956942,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",919356,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",873163,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","C","D1","_Z","_Z","XDC","S","V","N","T0800",832781,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",594267,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",624746,"W","_Z","2","6","AUD","F","A"
"2021","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",557630,"W","_Z","2","6","AUD","F","A"
"2020","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",472507,"W","_Z","2","6","AUD","F","A"
"2019","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",424518,"W","_Z","2","6","AUD","F","A"
"2018","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",388334,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",1757655,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S12","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",0,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-5012,"W","P","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-4932,"W","P","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-5575,"W","P","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-4969,"W","P","2","6","AUD","F","A"
"2019","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-4003,"W","P","2","6","AUD","F","A"
"2018","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-3861,"W","P","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-3737,"W","P","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","D","D7","_Z","_Z","XDC","S","V","N","T0800",-4293,"W","P","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",1266604,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",1177824,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",1072504,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",998036,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",956942,"W","N","2","6","AUD","F","A"
