REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
URY,USD,2020,1463.444,Millions,1200
URY,USD,2021,1641.697,Millions,1200
URY,USD,2022,2009.57,Millions,1200
SWE,USD,2016,14.074,Billions,1200
SWE,USD,2017,15.045,Billions,1200
SWE,USD,2018,15.812,Billions,1200
SWE,USD,2019,16.066,Billions,1200
SWE,USD,2020,16.122,Billions,1200
SWE,USD,2021,21.252,Billions,1200
SWE,USD,2022,19.843,Billions,1200
LVA,USD,2016,0.47,Billions,1200
LVA,USD,2017,0.483,Billions,1200
LVA,USD,2018,0.363,Billions,1200
LVA,USD,2019,0.053,Billions,1200
LVA,USD,2020,0.247,Billions,1200
LVA,USD,2021,0.34,Billions,1200
LVA,USD,2022,0.409,Billions,1200
KHM,USD,2016,522.29,Millions,1200
KHM,USD,2017,683.906,Millions,1200
KHM,USD,2018,805.884,Millions,1200
KHM,USD,2019,1026.927,Millions,1200
KHM,USD,2020,1160.177,Millions,1200
KHM,USD,2021,1175.862,Millions,1200
KHM,USD,2022,1448.574,Millions,1200
AUT,USD,2016,9.284,Billions,1200
AUT,USD,2017,10.304,Billions,1200
AUT,USD,2018,12.329,Billions,1200
AUT,USD,2019,12.085,Billions,1200
AUT,USD,2020,9.346,Billions,1200
AUT,USD,2021,13.208,Billions,1200
AUT,USD,2022,16.138,Billions,1200
TUN,USD,2016,674.883,Millions,1200
TUN,USD,2017,956.783,Millions,1200
TUN,USD,2018,990.022,Millions,1200
TUN,USD,2019,1285.933,Millions,1200
TUN,USD,2020,1088.168,Millions,1200
TUN,USD,2021,1080.394,Millions,1200
TUN,USD,2022,1377.489,Millions,1200
IRL,USD,2016,8.139,Billions,1200
IRL,USD,2017,9.266,Billions,1200
IRL,USD,2018,12.267,Billions,1200
IRL,USD,2019,12.19,Billions,1200
IRL,USD,2020,13.654,Billions,1200
IRL,USD,2021,18.125,Billions,1200
IRL,USD,2022,23.848,Billions,1200
NZL,USD,2016,9.466,Billions,1200
NZL,USD,2017,9.524,Billions,1200
NZL,USD,2018,10.502,Billions,1200
NZL,USD,2019,8.115,Billions,1200
NZL,USD,2020,12.057,Billions,1200
NZL,USD,2021,13.22,Billions,1200
NZL,USD,2022,11.171,Billions,1200
NLD,USD,2016,26.235,Billions,1200
NLD,USD,2017,27.327,Billions,1200
NLD,USD,2018,32.014,Billions,1200
NLD,USD,2019,33.623,Billions,1200
NLD,USD,2020,28.205,Billions,1200
NLD,USD,2021,39.524,Billions,1200
NLD,USD,2022,49.674,Billions,1200
KOR,USD,2016,50.649,Billions,1200
KOR,USD,2017,58.62,Billions,1200
KOR,USD,2018,72.446,Billions,1200
KOR,USD,2019,70.644,Billions,1200
KOR,USD,2020,55.308,Billions,1200
KOR,USD,2021,69.377,Billions,1200
KOR,USD,2022,90.028,Billions,1200
HKG,USD,2016,17937.822,Millions,1200
HKG,USD,2017,17848.774,Millions,1200
HKG,USD,2018,21256.614,Millions,1200
HKG,USD,2019,19895.59,Millions,1200
HKG,USD,2020,17472.691,Millions,1200
HKG,USD,2021,21527.151,Millions,1200
HKG,USD,2022,22245.256,Millions,1200
BFA,USD,2016,328.392,Millions,1200
BFA,USD,2017,374.391,Millions,1200
BFA,USD,2018,444.088,Millions,1200
BFA,USD,2019,504.263,Millions,1200
BFA,USD,2020,484.033,Millions,1200
BFA,USD,2021,705.15,Millions,1200
BFA,USD,2022,817.031,Millions,1200
PNG,USD,2016,779.248,Millions,1200
PNG,USD,2017,697.305,Millions,1200
PNG,USD,2018,916.145,Millions,1200
PNG,USD,2019,843.74,Millions,1200
PNG,USD,2020,621.759,Millions,1200
PNG,USD,2021,823.121,Millions,1200
PNG,USD,2022,2159.66,Millions,1200
POL,USD,2016,8.669,Billions,1200
POL,USD,2017,10.15,Billions,1200
POL,USD,2018,12.273,Billions,1200
POL,USD,2019,13.181,Billions,1200
POL,USD,2020,13.558,Billions,1200
POL,USD,2021,17.76,Billions,1200
POL,USD,2022,19.239,Billions,1200
ZMB,USD,2016,394.758,Millions,1200
ZMB,USD,2017,484.66,Millions,1200
