REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
SLV,USD,2021,1077.747,Billions,1200
SLV,USD,2022,1333.94,Billions,1200
EGY,USD,2016,15395.373,Millions,1200
EGY,USD,2017,9907.52,Millions,1200
EGY,USD,2018,10510.787,Millions,1200
EGY,USD,2019,11912.64,Millions,1200
EGY,USD,2020,14787.604,Millions,1200
EGY,USD,2021,16180.592,Millions,1200
EGY,USD,2022,18758.127,Millions,1200
UGA,USD,2016,219.832,Millions,1200
UGA,USD,2017,217.264,Millions,1200
UGA,USD,2018,241.252,Millions,1200
UGA,USD,2019,314.957,Millions,1200
UGA,USD,2020,350.914,Millions,1200
UGA,USD,2021,429.247,Millions,1200
UGA,USD,2022,449.267,Millions,1200
LUX,USD,2016,2.722,Billions,1200
LUX,USD,2017,3.278,Billions,1200
LUX,USD,2018,4.479,Billions,1200
LUX,USD,2019,4.21,Billions,1200
LUX,USD,2020,3.518,Billions,1200
LUX,USD,2021,3.872,Billions,1200
LUX,USD,2022,3.588,Billions,1200
PER,USD,2016,7342.727,Millions,1200
PER,USD,2017,7822.578,Millions,1200
PER,USD,2018,9176.301,Millions,1200
PER,USD,2019,9247.236,Millions,1200
PER,USD,2020,7014.683,Millions,1200
PER,USD,2021,10673.455,Millions,1200
PER,USD,2022,14279.262,Millions,1200
SOM,USD,2016,0.34,Millions,1200
SOM,USD,2017,0.165,Millions,1200
SOM,USD,2018,1.379,Millions,1200
SOM,USD,2019,4.049,Millions,1200
SOM,USD,2020,4.356,Millions,1200
SOM,USD,2021,1.558,Millions,1200
SOM,USD,2022,0.664,Millions,1200
MRT,USD,2016,167.606,Millions,1200
MRT,USD,2017,192.408,Millions,1200
MRT,USD,2018,203.635,Millions,1200
MRT,USD,2019,203.987,Millions,1200
MRT,USD,2020,250.547,Millions,1200
MRT,USD,2021,316.809,Millions,1200
MRT,USD,2022,293.255,Millions,1200
MHL,USD,2016,0,Millions,1200
MHL,USD,2017,0,Millions,1200
MHL,USD,2018,0,Millions,1200
MHL,USD,2019,0,Millions,1200
MHL,USD,2020,0,Millions,1200
MHL,USD,2021,0,Millions,1200
MHL,USD,2022,0,Millions,1200
TLS,USD,2016,84.579,Millions,1200
TLS,USD,2017,166.699,Millions,1200
TLS,USD,2018,239.88,Millions,1200
TLS,USD,2019,310.454,Millions,1200
TLS,USD,2020,140.132,Millions,1200
TLS,USD,2021,387.275,Millions,1200
TLS,USD,2022,475.991,Millions,1200
WSM,USD,2016,18.487,Millions,1200
WSM,USD,2017,18.733,Millions,1200
WSM,USD,2018,24.84,Millions,1200
WSM,USD,2019,23.033,Millions,1200
WSM,USD,2020,22.392,Millions,1200
WSM,USD,2021,24.67,Millions,1200
WSM,USD,2022,22.994,Millions,1200
LCA,USD,2016,36.667,Millions,1200
LCA,USD,2017,37.818,Millions,1200
LCA,USD,2018,42.597,Millions,1200
LCA,USD,2019,41.041,Millions,1200
LCA,USD,2020,35.844,Millions,1200
LCA,USD,2021,31.145,Millions,1200
LCA,USD,2022,36.187,Millions,1200
SWZ,USD,2016,120.731,Millions,1200
SWZ,USD,2017,137.282,Millions,1200
SWZ,USD,2018,145.478,Millions,1200
SWZ,USD,2019,148.737,Millions,1200
SWZ,USD,2020,127.439,Millions,1200
SWZ,USD,2021,157.161,Millions,1200
SWZ,USD,2022,138.999,Millions,1200
JAM,USD,2016,380.782,Millions,1200
JAM,USD,2017,478.08,Millions,1200
JAM,USD,2018,482.455,Millions,1200
JAM,USD,2019,506.521,Millions,1200
JAM,USD,2020,436.424,Millions,1200
JAM,USD,2021,456.716,Millions,1200
JAM,USD,2022,515.191,Millions,1200
MYS,USD,2016,17387.211,Millions,1200
MYS,USD,2017,17725.128,Millions,1200
MYS,USD,2018,21450.262,Millions,1200
MYS,USD,2019,20406.565,Millions,1200
MYS,USD,2020,14948.797,Millions,1200
MYS,USD,2021,22059.432,Millions,1200
MYS,USD,2022,24150.925,Millions,1200
VNM,USD,2016,8480.741,Millions,1200
VNM,USD,2017,9561.604,Millions,1200
VNM,USD,2018,10898.649,Millions,1200
VNM,USD,2019,11650.569,Millions,1200
VNM,USD,2020,11062.662,Millions,1200
VNM,USD,2021,13898.093,Millions,1200
VNM,USD,2022,14490.739,Millions,1200
CPV,USD,2016,37.55,Millions,1200
CPV,USD,2017,42.557,Millions,1200
CPV,USD,2018,54.078,Millions,1200
CPV,USD,2019,55.062,Millions,1200
CPV,USD,2020,35.289,Millions,1200
CPV,USD,2021,29.39,Millions,1200
CPV,USD,2022,30.647,Millions,1200
BLZ,USD,2016,81.123,Millions,1200
BLZ,USD,2017,82.938,Millions,1200
BLZ,USD,2018,86.488,Millions,1200
BLZ,USD,2019,86.871,Millions,1200
BLZ,USD,2020,66.907,Millions,1200
BLZ,USD,2021,62.815,Millions,1200
BLZ,USD,2022,105.514,Millions,1200
AZE,USD,2016,1241.642,Millions,1200
AZE,USD,2017,1344.603,Millions,1200
AZE,USD,2018,1470.383,Millions,1200
AZE,USD,2019,1497.636,Millions,1200
AZE,USD,2020,1383.368,Millions,1200
AZE,USD,2021,1740.225,Millions,1200
AZE,USD,2022,5013.214,Millions,1200
CHL,USD,2016,10.558,Billions,1200
CHL,USD,2017,11.803,Billions,1200
CHL,USD,2018,13.911,Billions,1200
CHL,USD,2019,13.654,Billions,1200
CHL,USD,2020,11.895,Billions,1200
CHL,USD,2021,12.051,Billions,1200
CHL,USD,2022,17.062,Billions,1200
MUS,USD,2016,330.981,Millions,1200
MUS,USD,2017,372.697,Millions,1200
MUS,USD,2018,392.052,Millions,1200
MUS,USD,2019,451.007,Millions,1200
MUS,USD,2020,403.388,Millions,1200
MUS,USD,2021,353.024,Millions,1200
MUS,USD,2022,438.05,Millions,1200
USA,USD,2016,365.045,Billions,1200
USA,USD,2017,284.778,Billions,1200
USA,USD,2018,285.084,Billions,1200
USA,USD,2019,283.92,Billions,1200
USA,USD,2020,294.629,Billions,1200
USA,USD,2021,390.818,Billions,1200
USA,USD,2022,527.536,Billions,1200
GEO,USD,2016,446.157,Millions,1200
GEO,USD,2017,301.469,Millions,1200
GEO,USD,2018,290.669,Millions,1200
GEO,USD,2019,307.402,Millions,1200
GEO,USD,2020,295.695,Millions,1200
GEO,USD,2021,315.154,Millions,1200
GEO,USD,2022,661.9,Millions,1200
HRV,USD,2016,1137.857,Millions,1200
HRV,USD,2017,1268.76,Millions,1200
HRV,USD,2018,1371.153,Millions,1200
HRV,USD,2019,1411.62,Millions,1200
HRV,USD,2020,1304.118,Millions,1200
HRV,USD,2021,1489.026,Millions,1200
HRV,USD,2022,2301.512,Millions,1200
DNK,USD,2016,9.466,Billions,1200
DNK,USD,2017,10.881,Billions,1200
DNK,USD,2018,9.87,Billions,1200
DNK,USD,2019,10.918,Billions,1200
DNK,USD,2020,10.351,Billions,1200
DNK,USD,2021,16.244,Billions,1200
DNK,USD,2022,13.324,Billions,1200
SVN,USD,2016,0.714,Billions,1200
SVN,USD,2017,0.863,Billions,1200
SVN,USD,2018,1.046,Billions,1200
SVN,USD,2019,1.067,Billions,1200
SVN,USD,2020,1.068,Billions,1200
SVN,USD,2021,1.527,Billions,1200
SVN,USD,2022,1.402,Billions,1200
PAN,USD,2016,1035.851,Millions,1200
PAN,USD,2017,942.846,Millions,1200
PAN,USD,2018,954.745,Millions,1200
PAN,USD,2019,902.299,Millions,1200
PAN,USD,2020,594.983,Millions,1200
PAN,USD,2021,581.857,Millions,1200
PAN,USD,2022,953.956,Millions,1200
COG,USD,2016,269.496,Millions,1200
COG,USD,2017,212.865,Millions,1200
COG,USD,2018,43.649,Millions,1200
COG,USD,2019,122.725,Millions,1200
COG,USD,2020,125.25,Millions,1200
COG,USD,2021,84.92,Millions,1200
COG,USD,2022,78.991,Millions,1200
PHL,USD,2016,12959.796,Millions,1200
PHL,USD,2017,13552.418,Millions,1200
PHL,USD,2018,13338.326,Millions,1200
PHL,USD,2019,13836.818,Millions,1200
PHL,USD,2020,13031.862,Millions,1200
PHL,USD,2021,12068.717,Millions,1200
PHL,USD,2022,11356.967,Millions,1200
BGD,USD,2016,4067.699,Millions,1200
BGD,USD,2017,3091.072,Millions,1200
BGD,USD,2018,3364.457,Millions,1200
BGD,USD,2019,3356.043,Millions,1200
BGD,USD,2020,7129.72,Millions,1200
BGD,USD,2021,6751.874,Millions,1200
BGD,USD,2022,7771.95,Millions,1200
BHS,USD,2016,0,Millions,1200
BHS,USD,2017,0,Millions,1200
BHS,USD,2018,0,Millions,1200
BHS,USD,2019,0,Millions,1200
BHS,USD,2020,0,Millions,1200
BHS,USD,2021,0,Millions,1200
BHS,USD,2022,0,Millions,1200
GAB,USD,2016,339.298,Millions,1200
GAB,USD,2017,403.232,Millions,1200
GAB,USD,2018,492.424,Millions,1200
GAB,USD,2019,744.209,Millions,1200
GAB,USD,2020,668.91,Millions,1200
GAB,USD,2021,488.635,Millions,1200
GAB,USD,2022,881.584,Millions,1200
ATG,USD,2016,18.501,Millions,1200
ATG,USD,2017,26.724,Millions,1200
ATG,USD,2018,28.863,Millions,1200
ATG,USD,2019,29.077,Millions,1200
ATG,USD,2020,32.172,Millions,1200
ATG,USD,2021,30.727,Millions,1200
ATG,USD,2022,26.211,Millions,1200
ECU,USD,2016,1377.361,Millions,1200
ECU,USD,2017,1073.696,Millions,1200
ECU,USD,2018,1893.768,Millions,1200
ECU,USD,2019,1307.661,Millions,1200
ECU,USD,2020,1332.879,Millions,1200
ECU,USD,2021,899.152,Millions,1200
ECU,USD,2022,1349.502,Millions,1200
FIN,USD,2016,5.311,Billions,1200
FIN,USD,2017,6.922,Billions,1200
FIN,USD,2018,7.01,Billions,1200
FIN,USD,2019,6.794,Billions,1200
FIN,USD,2020,5.813,Billions,1200
FIN,USD,2021,8.096,Billions,1200
FIN,USD,2022,8.483,Billions,1200
PRT,USD,2016,6.281,Billions,1200
PRT,USD,2017,7.085,Billions,1200
PRT,USD,2018,8.033,Billions,1200
PRT,USD,2019,7.48,Billions,1200
PRT,USD,2020,6.328,Billions,1200
PRT,USD,2021,6.157,Billions,1200
PRT,USD,2022,8.51,Billions,1200
ZAF,USD,2016,13645.378,Millions,1200
ZAF,USD,2017,16092.832,Millions,1200
ZAF,USD,2018,16310.308,Millions,1200
ZAF,USD,2019,14901.221,Millions,1200
ZAF,USD,2020,11809.64,Millions,1200
ZAF,USD,2021,20904.207,Millions,1200
ZAF,USD,2022,20680.854,Millions,1200
BEL,USD,2016,16.205,Billions,1200
BEL,USD,2017,20.445,Billions,1200
BEL,USD,2018,23.369,Billions,1200
BEL,USD,2019,19.846,Billions,1200
BEL,USD,2020,17.134,Billions,1200
BEL,USD,2021,22.496,Billions,1200
BEL,USD,2022,22.829,Billions,1200
HUN,USD,2016,2.904,Billions,1200
HUN,USD,2017,2.819,Billions,1200
HUN,USD,2018,2.116,Billions,1200
HUN,USD,2019,2.024,Billions,1200
HUN,USD,2020,2.02,Billions,1200
HUN,USD,2021,2.497,Billions,1200
HUN,USD,2022,2.936,Billions,1200
NIC,USD,2016,681.833,Millions,1200
NIC,USD,2017,735.064,Millions,1200
NIC,USD,2018,712.373,Millions,1200
NIC,USD,2019,800.198,Millions,1200
NIC,USD,2020,746.74,Millions,1200
NIC,USD,2021,938.22,Millions,1200
NIC,USD,2022,1144.677,Millions,1200
THA,USD,2016,17312.096,Millions,1200
THA,USD,2017,18203.596,Millions,1200
THA,USD,2018,21476.384,Millions,1200
THA,USD,2019,23624.565,Millions,1200
THA,USD,2020,19663.773,Millions,1200
THA,USD,2021,19654.917,Millions,1200
THA,USD,2022,20940.344,Millions,1200
MEX,USD,2016,37.555,Billions,1200
MEX,USD,2017,40.641,Billions,1200
MEX,USD,2018,42.082,Billions,1200
MEX,USD,2019,41.718,Billions,1200
MEX,USD,2020,38.729,Billions,1200
MEX,USD,2021,44.335,Billions,1200
MEX,USD,2022,56.472,Billions,1200
